Image Name,Conversion Factor (cm/pixel),Top Row (px),Bottom Row (px),Top Row (cm),Bottom Row (cm)
2mm btm a_speckled_pseudolabel.png,0.6444285112968687,74,99,47.69,63.80
2mm btm b_speckled_pseudolabel.png,0.6388274336283185,112,127,71.55,81.13
2mm btm c_speckled_pseudolabel.png,0.6445312500000001,93,114,59.94,73.48
2mm btm d_speckled_pseudolabel.png,0.6445312499999999,69,123,44.47,79.28
2mm top a_speckled_pseudolabel.png,0.6445055607176206,80,108,51.56,69.61
2mm top c_speckled_pseudolabel.png,0.6562228839121425,78,104,51.19,68.25
3mm btm a_speckled_pseudolabel.png,0.707720588235294,82,118,58.03,83.51
3mm btm b_speckled_pseudolabel.png,0.7146926931095622,50,135,35.73,96.48
3mm btm c_speckled_pseudolabel.png,0.707720588235294,83,143,58.74,101.20
3mm top a_speckled_pseudolabel.png,0.6503114480053016,73,101,47.47,65.68
3mm top b_speckled_pseudolabel.png,0.6445055607176209,74,117,47.69,75.41
3mm top c_speckled_pseudolabel.png,0.6562500000000001,78,113,51.19,74.16
3mm top d_speckled_pseudolabel.png,0.6503378378378378,64,115,41.62,74.79
4mm btm a_speckled_pseudolabel.png,0.7076865787401768,54,161,38.22,113.94
4mm btm b_speckled_pseudolabel.png,0.7218389089568057,54,158,38.98,114.05
4mm btm c_speckled_pseudolabel.png,0.714727722772277,53,165,37.88,117.93
4mm btm d_speckled_pseudolabel.png,0.7146926931095622,69,152,49.31,108.63
4mm top a_speckled_pseudolabel.png,0.7145876350165662,40,118,28.58,84.32
4mm top b_speckled_pseudolabel.png,0.7075845796651452,46,121,32.55,85.62
4mm top c_speckled_pseudolabel.png,0.707414679170544,45,117,31.83,82.77
4mm top d_speckled_pseudolabel.png,0.707720588235294,46,91,32.56,64.40
6mm btm a_speckled_pseudolabel.png,0.9498355263157896,72,138,68.39,131.08
6mm btm b_speckled_pseudolabel.png,0.9136926248976592,54,153,49.34,139.79
6mm btm c_speckled_pseudolabel.png,0.9374209494496676,66,149,61.87,139.68
6mm btm d_speckled_pseudolabel.png,0.9495068066221536,69,132,65.52,125.33
6mm top a_speckled_pseudolabel.png,0.9136926248976588,20,95,18.27,86.80
6mm top b_speckled_pseudolabel.png,0.9374209494496676,19,121,17.81,113.43
6mm top c_speckled_pseudolabel.png,0.962414455850162,24,94,23.10,90.47
6mm top d_speckled_pseudolabel.png,0.962414455850162,24,95,23.10,91.43
8mm btm a_speckled_pseudolabel.png,0.9374209494496679,40,166,37.50,155.61
8mm btm b_speckled_pseudolabel.png,0.9624999999999999,79,177,76.04,170.36
8mm btm c_speckled_pseudolabel.png,0.9374209494496676,71,174,66.56,163.11
8mm btm d_speckled_pseudolabel.png,0.9371839177253385,40,167,37.49,156.51
8mm top a_speckled_pseudolabel.png,0.9374209494496676,4,99,3.75,92.80
8mm top b_speckled_pseudolabel.png,0.962414455850162,13,105,12.51,101.05
8mm top c_speckled_pseudolabel.png,0.9371839177253382,5,83,4.69,77.79
8mm top d_speckled_pseudolabel.png,0.9136926248976588,10,83,9.14,75.84
