depth_mm,lateral_mm,diameter_mm
110.15,6.27,0.00
110.15,6.62,0.70
109.98,6.97,1.75
109.97,7.32,2.44
109.97,7.67,3.14
109.97,8.02,3.84
109.80,8.37,4.89
109.80,8.72,5.59
109.80,9.07,6.29
109.80,9.42,6.99
109.80,9.77,7.68
109.53,10.11,8.56
109.18,10.46,8.56
108.83,10.81,8.56
108.31,11.16,8.21
107.78,11.51,8.56
107.43,11.86,8.56
106.91,12.21,8.21
106.56,12.56,8.21
106.03,12.91,8.56
105.51,13.26,8.21
105.16,13.61,8.21
104.81,13.95,8.21
104.28,14.30,8.56
103.76,14.65,8.21
103.41,15.00,8.21
103.06,15.35,8.21
102.54,15.70,7.86
102.01,16.05,8.21
101.66,16.40,8.21
101.14,16.75,7.86
100.79,17.10,7.86
100.26,17.45,8.21
99.74,17.79,7.86
99.39,18.14,7.86
99.04,18.49,7.86
98.51,18.84,8.21
97.99,19.19,7.86
97.64,19.54,7.86
97.29,19.89,7.86
96.59,20.24,7.86
96.24,20.59,7.86
95.89,20.94,7.86
95.36,21.28,7.51
95.01,21.63,7.51
94.49,21.98,7.86
94.14,22.33,7.86
93.62,22.68,7.51
93.27,23.03,7.51
92.74,23.38,7.86
92.22,23.73,7.51
91.87,24.08,7.51
91.52,24.42,7.51
90.82,24.77,7.51
90.47,25.12,7.51
90.12,25.47,7.51
89.59,25.82,7.16
89.07,26.17,7.51
88.72,26.52,7.51
88.37,26.87,7.51
87.84,27.21,7.16
87.49,27.56,7.16
86.97,27.91,7.51
86.45,28.26,7.16
86.10,28.61,7.16
85.75,28.96,7.16
85.05,29.31,7.16
84.70,29.66,7.16
84.35,30.00,7.16
84.00,30.35,7.16
83.30,30.70,7.16
82.95,31.05,7.16
82.60,31.40,7.16
82.07,31.75,6.81
81.55,32.10,7.16
81.20,32.45,7.16
80.67,32.79,6.81
80.32,33.14,6.81
79.97,33.49,6.81
79.45,33.84,7.16
78.93,34.19,6.81
78.58,34.54,6.81
78.23,34.89,6.81
77.53,35.23,6.81
77.18,35.58,6.81
76.83,35.93,6.81
76.30,36.28,6.46
75.78,36.63,6.81
75.43,36.98,6.81
74.90,37.33,6.46
74.55,37.67,6.46
74.03,38.02,6.81
73.68,38.37,6.81
73.16,38.72,6.46
72.81,39.07,6.46
72.46,39.42,6.46
71.76,39.77,6.46
71.41,40.11,6.46
71.06,40.46,6.46
70.53,40.81,6.11
70.01,41.16,6.46
69.66,41.51,6.46
69.31,41.86,6.46
68.87,42.20,5.94
68.61,42.55,5.76
68.35,42.90,5.59
67.91,43.25,5.06
67.65,43.60,4.89
67.39,43.95,4.71
66.95,44.29,4.19
66.69,44.64,4.02
66.42,44.99,3.84
65.99,45.34,3.32
65.72,45.69,3.14
65.46,46.04,2.97
65.20,46.38,2.79
64.76,46.73,2.27
64.50,47.08,2.10
64.24,47.43,1.92
63.80,47.78,1.40
63.54,48.13,1.22
63.28,48.47,1.05
62.93,48.82,0.35
