Epoch,Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance,max dice,min hausdorff,weights saved
0,1,0.146424236,0.07282127,0.555134405,18.08232674,0.555134405,18.08232674,Yes
1,2,0.054428929,0.039971372,0.792173114,7.231824001,0.792173114,7.231824001,Yes
2,3,0.033115114,0.026949697,0.819382865,7.936594193,0.819382865,7.231824001,Yes
3,4,0.023453492,0.020944442,0.766658119,7.026535707,0.819382865,7.026535707,Yes
4,5,0.018360737,0.015579897,0.84633383,6.491115524,0.84633383,6.491115524,Yes
5,6,0.014472228,0.013634709,0.808961098,6.911779941,0.84633383,6.491115524,
6,7,0.011841301,0.011423544,0.83994687,7.097375898,0.84633383,6.491115524,
7,8,0.010494553,0.010179635,0.832457042,6.947658469,0.84633383,6.491115524,
8,9,0.008676901,0.009765792,0.813158471,7.726517653,0.84633383,6.491115524,
9,10,0.007799497,0.008166749,0.856696267,6.345664512,0.856696267,6.345664512,Yes
10,11,0.006904009,0.007566895,0.858909317,5.905597241,0.858909317,5.905597241,Yes
11,12,0.006081358,0.007398496,0.848479224,6.013163299,0.858909317,5.905597241,
12,13,0.005415893,0.006922561,0.851193767,5.759527747,0.858909317,5.759527747,Yes
13,14,0.00501885,0.006600579,0.86217631,6.107530774,0.86217631,5.759527747,Yes
14,15,0.005152844,0.008318549,0.813811337,7.270081562,0.86217631,5.759527747,
15,16,0.006185564,0.008954485,0.814152812,10.3322604,0.86217631,5.759527747,
16,17,0.00602953,0.009892367,0.792665623,17.50266398,0.86217631,5.759527747,
17,18,0.004785431,0.007429213,0.833077058,10.96275022,0.86217631,5.759527747,
18,19,0.004439438,0.005930096,0.851202056,7.344946326,0.86217631,5.759527747,
19,20,0.003802643,0.006242306,0.848288093,7.267758815,0.86217631,5.759527747,
20,21,0.003371633,0.005913744,0.855733439,7.72034416,0.86217631,5.759527747,
21,22,0.003109031,0.005973418,0.850711656,6.745672769,0.86217631,5.759527747,
22,23,0.00288401,0.006268767,0.849317696,6.581064181,0.86217631,5.759527747,
23,24,0.00279666,0.006111292,0.856114709,6.776957662,0.86217631,5.759527747,
24,25,0.002543776,0.00645966,0.858750417,7.485335309,0.86217631,5.759527747,
25,26,0.00259968,0.00734156,0.843824756,7.846903472,0.86217631,5.759527747,
26,27,0.002569412,0.005793098,0.858876478,6.587719661,0.86217631,5.759527747,
27,28,0.002248758,0.006165257,0.850169266,6.350945159,0.86217631,5.759527747,
28,29,0.002117702,0.006380748,0.852688504,6.480061317,0.86217631,5.759527747,
29,30,0.002041124,0.006148551,0.855058189,6.708460055,0.86217631,5.759527747,
