Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance,max dice,min hausdorff,weights saved
0,0.329976973,0.167806166,0.42833957,62.78912173,0.42833957,62.78912173,Yes
1,0.123376858,0.092293366,0.453119497,25.12099908,0.453119497,25.12099908,Yes
2,0.07876838,0.07371798,0.439869905,24.23521064,0.453119497,24.23521064,Yes
3,0.053131776,0.044456111,0.784822308,13.74311422,0.784822308,13.74311422,Yes
4,0.039476996,0.035193746,0.808206994,10.65051002,0.808206994,10.65051002,Yes
5,0.030972213,0.028008715,0.825425934,10.29993614,0.825425934,10.29993614,Yes
6,0.024724007,0.022792994,0.824610469,7.866812069,0.825425934,7.866812069,Yes
7,0.021165043,0.021021034,0.810931458,8.403848457,0.825425934,7.866812069,
8,0.01835146,0.017951193,0.833201324,8.052533736,0.833201324,7.866812069,Yes
9,0.015411149,0.015493403,0.824194,9.141253765,0.833201324,7.866812069,
10,0.013680377,0.013670411,0.839125259,7.3367536,0.839125259,7.3367536,Yes
11,0.012364965,0.012520205,0.841489591,7.537594541,0.841489591,7.3367536,Yes
12,0.011084789,0.012509752,0.82317857,7.736759052,0.841489591,7.3367536,
13,0.010022186,0.010489096,0.841918687,6.503074304,0.841918687,6.503074304,Yes
14,0.008934806,0.010256866,0.823432341,7.104553964,0.841918687,6.503074304,
15,0.008374071,0.009644427,0.839481471,7.13720226,0.841918687,6.503074304,
16,0.007489177,0.008558261,0.845909576,6.75435841,0.845909576,6.503074304,Yes
17,0.006870692,0.00882378,0.8324351,6.902504954,0.845909576,6.503074304,
18,0.006350787,0.008003629,0.85185239,6.612704134,0.85185239,6.503074304,Yes
19,0.005837609,0.00801025,0.850615874,7.4846898,0.85185239,6.503074304,
20,0.005497445,0.007921962,0.833642977,7.295523214,0.85185239,6.503074304,
21,0.005198863,0.00757421,0.84656265,6.949251358,0.85185239,6.503074304,
22,0.004893518,0.007341002,0.847778307,7.074997375,0.85185239,6.503074304,
23,0.004706379,0.007249759,0.849796203,6.677133802,0.85185239,6.503074304,
24,0.004378335,0.007252235,0.843477208,6.856131108,0.85185239,6.503074304,
25,0.004143058,0.007272767,0.833438708,6.687151131,0.85185239,6.503074304,
26,0.003811882,0.006839368,0.847021549,8.083022462,0.85185239,6.503074304,
27,0.003661613,0.00706579,0.844364158,7.46985172,0.85185239,6.503074304,
28,0.003661468,0.006359366,0.846119658,7.007486687,0.85185239,6.503074304,
29,0.004373668,0.006755986,0.826821453,6.548998509,0.85185239,6.503074304,
